 ,,,,,
S. No,Name (English),Name (Tamil),Rate,80%-Discount Price,Per.
259.            ,i.Cone,ஐ.கோன்,1375,₹ 275.00,1 Box
260.            ,Fanta Five,ஃபான்டா ஃபைவ்,1000,₹ 200.00,1 Box
261.            ,Yoyo Foundatin,யோயோ ஃபவுண்டெய்ன்,1500,₹ 300.00,1 Box
262.            ,Cock fight(2pcs),காக் ஃபைட் (2 பீஸ்),1000,₹ 200.00,1 Box
263.            ,Peacock fether(2pcs),பீகாக் ஃபெதர் (2 பீஸ்),1000,₹ 200.00,1 Box
264.            ,Jelly pops(2pcs),ஜெல்லி பாப்ஸ் (2 பீஸ்),1000,₹ 200.00,1 Box
265.            ,Magic Money,மேஜிக் மணி,1250,₹ 250.00,1 Box
266.            ,Peacock  Angel,பீகாக் ஏஞ்சல்,750,₹ 150.00,1 Box
267.            ,Magical peacock,மேஜிக்கல் பீகாக்,1225,₹ 245.00,1 Box
268.            ,Mega  cuckoo,மெகா குக்கூ,1800,₹ 360.00,1 Box
269.            ,Bada mayur,படா மயூர்,2000,₹ 400.00,1 Box
270.            ,Rainbow Smoke(2Pcs),ரெயின்போ ஸ்மோக் ,1200,₹ 240.00,1 Box
,,(2 பீஸ்),,,
271.            ,Colour Smoke (3Pcs),கலர் ஸ்மோக் (3 பீஸ்),875,₹ 175.00,1 Box
272.            ,Smoke Stick,ஸ்மோக் ஸ்டிக்,275,₹ 55.00,1 Box
